iso_code,Country_name,period,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,new_cases,new_cases_per_million,new_deaths,new_deaths_per_million,stringency_index
BGR,Bulgaria,2020Q1,399.0,57.854,8.0,1.16,399.0,57.855,8.0,1.16,58.065000000000005
BGR,Bulgaria,2020Q2,4989.0,723.394,230.0,33.35,4590.0,665.55,222.0,32.19,57.69285714285714
BGR,Bulgaria,2020Q3,20833.0,3020.74,825.0,119.623,15844.0,2297.357,595.0,86.27499999999999,37.913695652173914
BGR,Bulgaria,2020Q4,202266.0,29328.131,7576.0,1098.504,181433.0,26307.39,6751.0,978.895,46.78010869565218
BHR,Bahrain,2020,92675.0,53008.789,352.0,201.339,92675.0,53008.79,352.0,201.344,63.355384615384615
BHR,Bahrain,2020Q1,567.0,324.316,4.0,2.288,567.0,324.32,4.0,2.288,45.872972972972974
BHR,Bahrain,2020Q2,26758.0,15305.197,87.0,49.763,26191.0,14980.882,83.0,47.476,75.32527472527472
BHR,Bahrain,2020Q3,70864.0,40533.205,251.0,143.568,44106.0,25228.006,164.0,93.80799999999999,66.24326086956522
BHR,Bahrain,2020Q4,92675.0,53008.789,352.0,201.339,21811.0,12475.582,101.0,57.772,55.65869565217392
BHS,Bahamas,2020,7871.0,19830.492,170.0,428.304,7871.0,19830.478,170.0,428.295,78.36164948453609
BHS,Bahamas,2020Q1,14.0,35.272,0.0,0.0,14.0,35.269999999999996,0.0,0.0,72.2225
BHS,Bahamas,2020Q2,104.0,262.021,11.0,27.714,90.0,226.743,11.0,27.711,90.9665934065934
BHS,Bahamas,2020Q3,4123.0,10387.641,96.0,241.866,4019.0,10125.613,85.0,214.149,75.3258695652174
BHS,Bahamas,2020Q4,7871.0,19830.492,170.0,428.304,3748.0,9442.851999999999,74.0,186.435,69.99717391304348
BIH,Bosnia and Herzegovina,2020,110985.0,34008.394,4050.0,1241.015,110985.0,34008.385,4061.0,1244.382,56.74440397350994
BIH,Bosnia and Herzegovina,2020Q1,420.0,128.698,13.0,3.984,420.0,128.698,13.0,3.982,53.189629629629636
BIH,Bosnia and Herzegovina,2020Q2,4453.0,1364.503,186.0,56.995,4033.0,1235.8029999999999,173.0,53.005,74.60197802197801
BIH,Bosnia and Herzegovina,2020Q3,27469.0,8417.143,856.0,262.298,23016.0,7052.635,670.0,205.31,51.94195652173913
BIH,Bosnia and Herzegovina,2020Q4,110985.0,34008.394,4050.0,1241.015,83516.0,25591.249,3205.0,982.085,44.92663043478261
BLR,Belarus,2020,194284.0,20574.684,1424.0,150.802,194284.0,20574.692,1424.0,150.84,29.610844155844156
BLR,Belarus,2020Q1,152.0,16.097,1.0,0.106,152.0,16.099,1.0,0.106,4.543636363636364
BLR,Belarus,2020Q2,62118.0,6578.299,392.0,41.513,61966.0,6562.204,391.0,41.428,30.52351648351648
BLR,Belarus,2020Q3,78631.0,8327.026,833.0,88.215,16513.0,1748.732,441.0,46.718,31.479999999999997
BLR,Belarus,2020Q4,194284.0,20574.684,1424.0,150.802,115653.0,12247.657,591.0,62.588,35.8304347826087
BLZ,Belize,2020,10776.0,26612.993,248.0,612.474,10776.0,26612.997,248.0,612.4830000000001,71.90598591549295
BLZ,Belize,2020Q1,3.0,7.409,0.0,0.0,3.0,7.41,0.0,0.0,54.63
BLZ,Belize,2020Q2,24.0,59.272,2.0,4.939,21.0,51.867000000000004,2.0,4.94,76.96516483516483
BLZ,Belize,2020Q3,1992.0,4919.551,27.0,66.681,1968.0,4860.279,25.0,61.746,71.23478260869565
BLZ,Belize,2020Q4,10776.0,26612.993,248.0,612.474,8784.0,21693.441,221.0,545.797,69.26304347826087
BMU,Bermuda,2020,604.0,9727.501,10.0,161.051,604.0,9727.489,10.0,161.05,54.449930555555554
BMU,Bermuda,2020Q1,32.0,515.364,0.0,0.0,32.0,515.365,0.0,0.0,45.93846153846154
BMU,Bermuda,2020Q2,146.0,2351.35,9.0,144.946,114.0,1835.98,9.0,144.945,78.39175824175825
BMU,Bermuda,2020Q3,181.0,2915.029,9.0,144.946,35.0,563.676,0.0,0.0,43.71815217391304
BMU,Bermuda,2020Q4,604.0,9727.501,10.0,161.051,423.0,6812.468,1.0,16.105,42.70282608695652
BOL,Bolivia,2020,160124.0,13532.06,9165.0,774.533,160124.0,13532.065,9165.0,774.552,83.07293918918919
BOL,Bolivia,2020Q1,107.0,9.043,6.0,0.507,107.0,9.047,6.0,0.508,73.32523809523809
BOL,Bolivia,2020Q2,33219.0,2807.334,1123.0,94.905,33112.0,2798.291,1117.0,94.411,93.77516483516483
BOL,Bolivia,2020Q3,135311.0,11435.116,7965.0,673.121,102092.0,8627.783,6842.0,578.215,87.0936956521739
BOL,Bolivia,2020Q4,160124.0,13532.06,9165.0,774.533,24813.0,2096.944,1200.0,101.418,70.69130434782609
BRA,Brazil,2020,7681032.0,35893.773,195072.0,911.579,7700828.0,35986.278,195072.0,911.572,67.23045161290322
BRA,Brazil,2020Q1,5717.0,26.716,201.0,0.939,5717.0,26.715,201.0,0.9390000000000001,39.60371428571429
BRA,Brazil,2020Q2,1412669.0,6601.459,59792.0,279.41,1426748.0,6667.254,59591.0,278.47,77.64978021978023
BRA,Brazil,2020Q3,4817365.0,22511.741,144078.0,673.282,3404696.0,15910.282,84286.0,393.869,73.7641304347826
BRA,Brazil,2020Q4,7681032.0,35893.773,195072.0,911.579,2863667.0,13382.027,50994.0,238.294,60.90086956521739
BRB,Barbados,2020,383.0,1331.211,7.0,24.33,383.0,1331.2069999999999,7.0,24.332,54.05862068965517
BRB,Barbados,2020Q1,34.0,118.175,0.0,0.0,34.0,118.17399999999999,0.0,0.0,49.690666666666665
BRB,Barbados,2020Q2,97.0,337.147,7.0,24.33,63.0,218.973,7.0,24.332,79.95527472527473
BRB,Barbados,2020Q3,190.0,660.392,7.0,24.33,93.0,323.247,0.0,0.0,45.29152173913043
BRB,Barbados,2020Q4,383.0,1331.211,7.0,24.33,193.0,670.813,0.0,0.0,37.922717391304346
BRN,Brunei,2020,157.0,355.58,3.0,6.795,157.0,355.584,3.0,6.795,43.624630872483216
BRN,Brunei,2020Q1,129.0,292.165,1.0,2.265,129.0,292.165,1.0,2.265,46.61913043478261
BRN,Brunei,2020Q2,141.0,319.343,3.0,6.795,12.0,27.18,2.0,4.53,53.67131868131868
BRN,Brunei,2020Q3,146.0,330.667,3.0,6.795,5.0,11.325000000000001,0.0,0.0,41.37315217391304
BRN,Brunei,2020Q4,157.0,355.58,3.0,6.795,11.0,24.914,0.0,0.0,35.19
BTN,Bhutan,2020,670.0,859.084,0.0,0.0,670.0,859.069,0.0,0.0,75.52754152823921
BTN,Bhutan,2020Q1,4.0,5.129,0.0,0.0,4.0,5.128,0.0,0.0,43.08923076923077
BTN,Bhutan,2020Q2,77.0,98.731,0.0,0.0,73.0,93.59899999999999,0.0,0.0,83.33
BTN,Bhutan,2020Q3,282.0,361.585,0.0,0.0,205.0,262.847,0.0,0.0,79.5382608695652
BTN,Bhutan,2020Q4,670.0,859.084,0.0,0.0,388.0,497.495,0.0,0.0,72.96652173913044
BWA,Botswana,2020,14805.0,6175.852,42.0,17.52,14805.0,6175.849,42.0,17.514,61.41075812274368
BWA,Botswana,2020Q1,4.0,1.669,1.0,0.417,4.0,1.668,1.0,0.417,61.11
BWA,Botswana,2020Q2,227.0,94.692,1.0,0.417,223.0,93.02199999999999,0.0,0.0,72.9956043956044
BWA,Botswana,2020Q3,3172.0,1323.188,16.0,6.674,2945.0,1228.495,15.0,6.255,55.79260869565218
BWA,Botswana,2020Q4,14805.0,6175.852,42.0,17.52,11633.0,4852.664,26.0,10.841999999999999,55.576521739130435
CAF,Central African Republic,2020,4963.0,1008.743,63.0,12.805,4963.0,1008.745,63.0,12.805,49.55311643835616
CAF,Central African Republic,2020Q1,3.0,0.61,0.0,0.0,3.0,0.61,0.0,0.0,31.372352941176466
CAF,Central African Republic,2020Q2,3745.0,761.181,47.0,9.553,3742.0,760.569,47.0,9.554,70.47318681318681
CAF,Central African Republic,2020Q3,4829.0,981.507,62.0,12.602,1084.0,220.331,15.0,3.048,53.79565217391304
CAF,Central African Republic,2020Q4,4963.0,1008.743,63.0,12.805,134.0,27.235,1.0,0.203,27.977391304347826
CAN,Canada,2020,590249.0,15505.158,16685.0,438.296,590249.0,15505.162,16685.0,438.301,59.35511627906977
CAN,Canada,2020Q1,10711.0,281.366,303.0,7.959,10711.0,281.364,303.0,7.96,19.466376811594206
CAN,Canada,2020Q2,104608.0,2747.931,8960.0,235.369,93897.0,2466.567,8657.0,227.411,72.6045054945055
CAN,Canada,2020Q3,162560.0,4270.263,9557.0,251.051,57952.0,1522.334,597.0,15.683,66.27521739130434
CAN,Canada,2020Q4,590249.0,15505.158,16685.0,438.296,427689.0,11234.896999999999,7128.0,187.247,69.24619565217391
CHE,Switzerland,2020,452296.0,51895.624,7873.0,903.334,452296.0,51895.632,7873.0,903.336,49.76331189710611
CHE,Switzerland,2020Q1,16605.0,1905.228,485.0,55.648,16605.0,1905.228,485.0,55.649,44.44416666666667
CHE,Switzerland,2020Q2,31714.0,3638.807,1809.0,207.561,15109.0,1733.583,1324.0,151.915,59.6567032967033
CHE,Switzerland,2020Q3,53282.0,6113.48,1908.0,218.92,21568.0,2474.677,99.0,11.364,41.75978260869565
CHE,Switzerland,2020Q4,452296.0,51895.624,7873.0,903.334,399014.0,45782.144,5965.0,684.408,50.06239130434783
CHL,Chile,2020,608973.0,31696.936,16608.0,864.443,608973.0,31696.938000000002,16608.0,864.434,73.28150159744409
CHL,Chile,2020Q1,2844.0,148.03,12.0,0.625,2844.0,148.028,12.0,0.624,26.681578947368422
CHL,Chile,2020Q2,279393.0,14542.356,5688.0,296.059,276549.0,14394.329,5676.0,295.428,75.99274725274725
CHL,Chile,2020Q3,462991.0,24098.599,12741.0,663.167,183598.0,9556.242,7053.0,367.108,83.66260869565217
CHL,Chile,2020Q4,608973.0,31696.936,16608.0,864.443,145982.0,7598.339,3867.0,201.274,79.46641304347825
CHN,China,2020,87071.0,60.289,4634.0,3.209,86525.0,59.916,4617.0,3.194,72.1795652173913
CHN,China,2020Q1,81524.0,56.449,3305.0,2.288,80977.0,56.076,3288.0,2.274,75.44957142857143
CHN,China,2020Q2,83534.0,57.84,4634.0,3.209,2011.0,1.392,1329.0,0.92,71.16626373626374
CHN,China,2020Q3,85412.0,59.141,4634.0,3.209,1878.0,1.301,0.0,0.0,72.32239130434782
CHN,China,2020Q4,87071.0,60.289,4634.0,3.209,1659.0,1.147,0.0,0.0,70.55097826086956
CIV,Ivory Coast,2020,22490.0,831.312,137.0,5.064,22524.0,832.571,137.0,5.069,47.42577702702703
