pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,540,New Caledonia,NCL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,141558,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,554,New Zealand,NZL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,32044427,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,574,Norfolk Isds,NFK,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8619,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,586,Pakistan,PAK,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,7622484,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,598,Papua New Guinea,PNG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8758,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,608,Philippines,PHL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,18816731,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2085,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,634,Qatar,QAT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,25501159,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,48029703,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,340597,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,7515129,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,338034225,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,710,South Africa,ZAF,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,1693256,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1737,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,752,Sweden,SWE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1609,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2744723,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,17023854,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3078038,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,837,Bunkers,,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3138363,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,6035510,,,4
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,11364401243,,,0
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,10,Antarctica,ATA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,32744,,,0
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,16,American Samoa,ASM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1310913,,,0
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,24,Angola,AGO,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1413704,,,0
H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,28,Antigua and Barbuda,ATG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,135624,,,0
