IndicatorCategory,IndicatorCode,Indicator,ReporterCode,ReporterISO3A,Reporter,PartnerCode,PartnerISO3A,Partner,ProductClassificationCode,ProductClassification,ProductCode,Product,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,Value
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,76,BRA,Brazil,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,12403
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,108,BDI,Burundi,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,154
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,364,IRN,Iran,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,13090
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,218,ECU,Ecuador,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,2565
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,170,COL,Colombia,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,7015
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,158,CHT,Chinese Taipei,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,15811
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,704,VNM,Viet Nam,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,26023
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,231,ETH,Ethiopia,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,1357
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,400,JOR,Jordan,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,3971
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,124,CAN,Canada,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,40702
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,690,SYC,Seychelles,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,287
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,533,ABW,"Aruba, the Netherlands with respect to",0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,379
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,446,MAC,"Macao, China",0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,2018
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,442,LUX,Luxembourg,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,3196
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,340,HND,Honduras,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,1807
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,348,HUN,Hungary,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,8324
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,893,MNE,Montenegro,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,659
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,404,KEN,Kenya,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,2834
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,792,TUR,Turkey,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,19798
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,686,SEN,Senegal,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,1724
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,417,KGZ,Kyrgyz Republic,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,704
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,740,SUR,Suriname,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,227
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,642,ROM,Romania,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,10480
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,478,MRT,Mauritania,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,642
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,620,PRT,Portugal,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,13756
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,174,COM,Comoros,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,88
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,246,FIN,Finland,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,7247
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,288,GHA,Ghana,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,2195
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,784,ARE,United Arab Emirates,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,19084
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,398,KAZ,Kazakhstan,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,3993
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,887,YEM,Yemen,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,1871
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,860,UZB,Uzbekistan,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,2475
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,702,SGP,Singapore,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,14423
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,328,GUY,Guyana,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,288
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,180,COD,Democratic Republic of the Congo,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,803
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,352,ISL,Iceland,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,811
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,222,SLV,El Salvador,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,2391
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,178,COG,Congo,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,588
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,586,PAK,Pakistan,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,7491
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,554,NZL,New Zealand,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,5253
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,112,BLR,Belarus,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,4916
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,504,MAR,Morocco,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,6305
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,703,SVK,Slovak Republic,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,6262
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,156,CHN,China,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,199285
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,858,URY,Uruguay,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,1348
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,450,MDG,Madagascar,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,705
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,384,CIV,CÙte d'Ivoire,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,2311
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,498,MDA,"Moldova, Republic of",0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,864
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,678,STP,Sao TomÈ and Principe,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,48
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,360,IDN,Indonesia,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,22885
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,414,KWT,"Kuwait, the State of",0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,5711
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,300,GRC,Greece,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,8677
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,428,LVA,Latvia,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,3900
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,528,NLD,Netherlands,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,76572
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,705,SVN,Slovenia,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,4147
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,203,CZE,Czech Republic,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,12090
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,578,NOR,Norway,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,8998
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,410,KOR,"Korea, Republic of",0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,37381
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,0,,World,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,1827560
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,788,TUN,Tunisia,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,2609
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,840,USA,United States of America,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,181083
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,892,SRB,Serbia,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,2408
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,634,QAT,Qatar,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,3291
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,250,FRA,France,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,68491
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,646,RWA,Rwanda,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,574
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,508,MOZ,Mozambique,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,1330
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,440,LTU,Lithuania,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,5355
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,484,MEX,Mexico,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,30165
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,496,MNG,Mongolia,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,659
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,682,SAU,"Saudi Arabia, Kingdom of",0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,20858
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,768,TGO,Togo,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,347
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,854,BFA,Burkina Faso,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,478
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,762,TJK,Tajikistan,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,835
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,818,EGY,Egypt,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,16260
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,882,WSM,Samoa,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,109
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,276,DEU,Germany,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,115242
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,388,JAM,Jamaica,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,1210
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,132,CPV,Cabo Verde,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,258
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,690,SYC,Seychelles,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2020,,,338
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,332,HTI,Haiti,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,942
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,800,UGA,Uganda,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,964
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,894,ZMB,Zambia,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,570
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,104,MMR,Myanmar,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,2276
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,716,ZWE,Zimbabwe,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,404
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,308,GRD,Grenada,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,120
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,392,JPN,Japan,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,82636
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,418,LAO,Lao People's Democratic Republic,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,1036
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,670,VCT,Saint Vincent and the Grenadines,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,102
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,724,ESP,Spain,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,46641
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,616,POL,Poland,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,26502
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,918,EEC,European Union,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,595321
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,826,GBR,United Kingdom,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,70842
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,764,THA,Thailand,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,17112
